                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76588,                0.72308,                  1.169,                0.76696,                0.39283,                 0.4706,                0.38644,                0.78359,                0.97318,                 1.1923,             0.00026654,             0.00026654,             0.00026654
                     36,                 0.7545,                0.69017,                 1.1561,                 0.7755,                0.42292,                0.47672,                0.38928,                0.79839,                0.87615,                 1.1816,             0.00025131,             0.00025131,             0.00025131
                     37,                0.76866,                0.70748,                 1.1558,                0.79275,                0.41803,                0.49399,                0.39512,                0.75942,                0.91963,                 1.1461,             0.00023608,             0.00023608,             0.00023608
                     38,                0.77041,                0.70097,                 1.1727,                0.43216,                0.46869,                 0.4769,                0.39347,                0.80738,                0.93092,                 1.2026,             0.00022086,             0.00022086,             0.00022086
                     39,                0.72568,                0.67851,                 1.1476,                 0.5038,                0.51543,                0.51448,                0.41876,                 0.7787,                0.88515,                 1.1708,             0.00020563,             0.00020563,             0.00020563
                     40,                0.75458,                0.67527,                 1.1494,                0.56922,                0.48277,                0.50223,                 0.4101,                0.77928,                 0.9125,                 1.1795,              0.0001904,              0.0001904,              0.0001904
                     41,                0.60907,                 0.5363,                 1.0867,                0.66462,                0.46862,                0.51994,                 0.4316,                 0.7856,                0.91312,                 1.2015,             0.00017518,             0.00017518,             0.00017518
                     42,                0.57617,                0.46198,                  1.053,                0.53759,                0.51538,                0.51067,                0.42544,                0.76416,                0.87169,                 1.1634,             0.00015995,             0.00015995,             0.00015995
                     43,                0.57199,                0.45381,                 1.0436,                 0.5086,                0.52341,                0.52645,                0.43778,                0.76597,                0.88699,                 1.1697,             0.00014473,             0.00014473,             0.00014473
                     44,                 0.5485,                0.45241,                 1.0321,                0.60661,                0.50852,                0.51475,                0.43935,                0.72745,                0.87424,                 1.1311,              0.0001295,              0.0001295,              0.0001295
                     45,                0.52584,                0.40374,                 1.0279,                    0.6,                0.51955,                0.52597,                0.45302,                0.69021,                 0.8431,                 1.1076,             0.00011427,             0.00011427,             0.00011427
                     46,                 0.5061,                0.38036,                 1.0039,                0.69733,                 0.5189,                0.52964,                0.45429,                0.69569,                0.80589,                 1.1179,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                0.51118,                0.40025,                 1.0117,                0.68707,                0.49014,                0.52062,                0.45358,                0.68285,                0.84417,                 1.1045,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                0.48918,                0.38215,                 1.0048,                0.71985,                0.50153,                0.53362,                 0.4609,                0.68757,                0.82068,                 1.1045,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                0.48296,                0.36278,                0.99733,                0.70932,                0.51069,                0.52701,                0.45424,                0.69937,                0.83037,                 1.1167,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                0.49249,                0.37346,                 1.0087,                0.73276,                0.51087,                0.52734,                0.45677,                0.69945,                 0.8288,                 1.1241,             3.8142e-05,             3.8142e-05,             3.8142e-05
